Var1;regGroup
Emp_1;Aromatase
Emp_2;Hormonal
Emp_3;Chemo
Emp_4;Aromatase
Emp_5;Chemo
Emp_6;HER2-mAb
Emp_7;Chemo
Emp_8;Chemo
Emp_9;Chemo
Emp_10;Aromatase
Emp_11;SERD
Emp_12;CDK4/6
Emp_13;Chemo
Emp_14;Chemo
Emp_15;HER2-mAb_Chemo
Emp_16;HER2-mAb_Chemo
Emp_17;HER2-mAb
Emp_18;Aromatase_CDK4/6
Emp_19;CDK4/6
Emp_20;SERD_CDK4/6
Emp_21;CDK4/6
Emp_22;HER2-TKI_Chemo
Emp_23;Chemo
Emp_24;HER2-mAb_Aromatase
Emp_25;Aromatase_CDK4/6
Emp_26;Chemo
Emp_27;SERD_CDK4/6
Emp_28;ADC
Emp_29;HER2-mAb_Hormonal
Emp_30;HER2-TKI
Emp_31;Chemo_Aromatase
Emp_32;Aromatase_CDK4/6
Emp_33;Hormonal_Aromatase
Emp_34;HER2-mAb_Aromatase
Emp_35;Chemo_Hormonal
Emp_36;HER2-mAb_Aromatase
Emp_37;Chemo_Hormonal
Emp_38;Chemo_Aromatase
Emp_39;Chemo
Emp_40;Chemo_Hormonal
Emp_41;Chemo_SERD
Emp_42;Chemo_Aromatase
Emp_43;Chemo
Emp_44;PI3K
Emp_45;Chemo_SERD
Emp_46;Aromatase
Emp_47;Chemo_Aromatase
Emp_48;Hormonal_Aromatase
Emp_49;Chemo_Aromatase
Emp_50;Chemo
Emp_51;Chemo_Aromatase
Emp_52;HER2-mAb_Chemo
Emp_53;Chemo_Hormonal
Emp_54;Chemo
Emp_55;SERD_CDK4/6
Emp_56;Chemo_Aromatase
Emp_57;HER2-mAb_Chemo
Emp_58;HER2-mAb_Chemo
Emp_59;Aromatase_SERD
Emp_60;HER2-mAb_Aromatase
Emp_61;Hormonal_Aromatase
Emp_62;Aromatase_SERD_CDK4/6
Emp_63;Chemo_Aromatase
Emp_64;Chemo_Aromatase
Emp_65;HER2-mAb_Chemo
Emp_66;HER2-mAb_Chemo
Emp_67;Chemo
Emp_68;Chemo_SERD
Emp_69;SERD_PI3K
Emp_70;Chemo_Aromatase
Emp_71;Chemo_Aromatase
Emp_72;Chemo
Emp_73;HER2-mAb_Chemo
Emp_74;Chemo
Emp_75;Chemo_Hormonal
Emp_76;Aromatase
Emp_77;HER2-mAb_Hormonal
Emp_78;Hormonal_CDK4/6
Emp_79;Aromatase_CDK4/6
Emp_80;HER2-mAb_Chemo
Emp_81;Chemo_Aromatase
Emp_82;HER2-mAb_SERD
Emp_83;Aromatase_CDK4/6
Emp_84;Chemo_Aromatase
Emp_85;Aromatase_SERD
Emp_86;HER2-mAb_Chemo_Aromatase
Emp_87;Chemo_Aromatase
Emp_88;HER2-mAb_Chemo_SERD
Emp_89;Chemo_Aromatase
Emp_90;Chemo_SERD
Emp_91;HER2-mAb_Chemo_Aromatase
Emp_92;HER2-mAb_Chemo
Emp_93;Aromatase_CDK4/6
Emp_94;HER2-mAb_Aromatase
Emp_95;Aromatase
Emp_96;HER2-mAb_HER2-TKI_Chemo
Emp_97;Chemo_SERD
Emp_98;Chemo_Hormonal
Emp_99;HER2-mAb_Chemo_SERD
Emp_100;HER2-mAb_Chemo
Emp_101;Aromatase_SERD
Emp_102;Aromatase_CDK4/6
Emp_103;Aromatase_CDK4/6
Emp_104;HER2-TKI_Chemo
Emp_105;Chemo_Aromatase_CDK4/6
Emp_106;HER2-mAb_Chemo
Emp_107;Chemo_Aromatase
Emp_108;HER2-mAb_Chemo_Aromatase
Emp_109;Chemo_SERD
Emp_110;SERD_CDK4/6
Emp_111;Hormonal_Aromatase_CDK4/6
Emp_112;HER2-mAb_Chemo_Hormonal
Emp_113;Chemo_CDK4/6
Emp_114;Aromatase_SERD_CDK4/6
Emp_115;HER2-mAb_Aromatase
Emp_116;Chemo
Emp_117;Chemo
Emp_118;HER2-TKI_Chemo_Aromatase
Emp_119;Chemo_Aromatase
Emp_120;Chemo_Aromatase
Emp_121;Chemo_Aromatase_CDK4/6
Emp_122;Aromatase_CDK4/6
Emp_123;CDK4/6
Emp_124;Chemo_PI3K
Emp_125;Chemo_Aromatase
Emp_126;HER2-mAb_Chemo_Aromatase
Emp_127;Chemo_Hormonal_Aromatase
Emp_128;Aromatase_CDK4/6
Emp_129;HER2-mAb_Chemo_Aromatase
Emp_130;HER2-mAb_Chemo
Emp_131;Chemo_Aromatase_SERD
Emp_132;HER2-TKI_Chemo_SERD
Emp_133;HER2-mAb_Chemo
Emp_134;Chemo
Emp_135;Chemo_SERD_CDK4/6
Emp_136;HER2-TKI_Chemo
Emp_137;Chemo_CDK4/6
Emp_138;HER2-mAb_Chemo_Hormonal
Emp_139;HER2-mAb_Chemo
Emp_140;Aromatase_SERD_CDK4/6
Emp_141;Hormonal_SERD
Emp_142;Aromatase_CDK4/6
Emp_143;ADC_Aromatase
Emp_144;CDK4/6
Emp_145;Hormonal_CDK4/6
Emp_146;Hormonal_Aromatase_CDK4/6
Emp_147;Chemo_CDK4/6
Emp_148;Aromatase_CDK4/6
Emp_149;Aromatase_SERD_CDK4/6
Emp_150;CDK4/6
Emp_151;Aromatase_PI3K
Emp_152;Chemo_Aromatase_PI3K
Emp_153;HER2-mAb_SERD_PI3K
Emp_154;Chemo_Aromatase
Emp_155;Chemo_Aromatase
Emp_156;Chemo_Aromatase
Emp_157;Aromatase_SERD_CDK4/6
Emp_158;Hormonal_Aromatase_SERD
Emp_159;HER2-TKI_Aromatase
Emp_160;Chemo_Aromatase
Emp_161;HER2-mAb_Aromatase
Emp_162;Hormonal_Aromatase
Emp_163;Chemo_Hormonal_Aromatase
Emp_164;Chemo
Emp_165;Chemo_SERD
Emp_166;Chemo_Aromatase
Emp_167;HER2-TKI_Chemo
Emp_168;HER2-TKI_Chemo_Aromatase
Emp_169;HER2-TKI_Chemo
Emp_170;HER2-mAb_HER2-TKI_Chemo
Emp_171;HER2-TKI_Chemo_Hormonal
Emp_172;Chemo_Aromatase_CDK4/6
Emp_173;Chemo_Hormonal
Emp_174;Chemo_CDK4/6
Emp_175;HER2-mAb_Chemo
Emp_176;Chemo_SERD
Emp_177;Chemo_Aromatase
Emp_178;Chemo_SERD_CDK4/6
Emp_179;Chemo_Aromatase
Emp_180;Chemo
Emp_181;Chemo_Aromatase
Emp_182;Chemo_SERD
Emp_183;Chemo_Aromatase
Emp_184;Chemo_Aromatase_CDK4/6
Emp_185;Chemo_Hormonal_Aromatase
Emp_186;Chemo_Aromatase_SERD
Emp_187;Chemo_SERD
Emp_188;Chemo_SERD_CDK4/6
Emp_189;Chemo_Aromatase_CDK4/6
Emp_190;Chemo_Hormonal_Aromatase_CDK4/6
Emp_191;Chemo_CDK4/6
Emp_192;Chemo
Emp_193;HER2-mAb_Chemo
Emp_194;HER2-mAb_Chemo
Emp_195;Chemo_Aromatase_SERD
Emp_196;Chemo_Aromatase_CDK4/6
Emp_197;Chemo_Hormonal_Aromatase
Emp_198;Chemo_CDK4/6
Emp_199;Chemo_CDK4/6
Emp_200;Chemo_Aromatase
Emp_201;Chemo_SERD_CDK4/6
Emp_202;Chemo_SERD_CDK4/6
Emp_203;Chemo_CDK4/6
Emp_204;Chemo_Hormonal
Emp_205;HER2-mAb_Aromatase_SERD
Emp_206;Chemo_Aromatase
Emp_207;Aromatase_CDK4/6
Emp_208;HER2-mAb_Chemo_Aromatase
Emp_209;HER2-TKI_SERD
Emp_210;Chemo_Aromatase_SERD
Emp_211;Chemo_SERD_CDK4/6
Emp_212;Chemo_Hormonal_SERD
Emp_213;HER2-mAb_SERD_CDK4/6
Emp_214;HER2-mAb_SERD
Emp_215;ADC_SERD
Emp_216;HER2-mAb_HER2-TKI
Emp_217;Chemo_Aromatase_CDK4/6
Emp_218;HER2-mAb_Hormonal_Aromatase
Emp_219;ADC_Chemo
Emp_220;Hormonal_CDK4/6